Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
9824	M48.50	Collapsed vertebra, not elsewhere classified, site unspecified	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9825	M48.51	Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9826	M48.52	Collapsed vertebra, not elsewhere classified, cervical region	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9827	M48.53	Collapsed vertebra, not elsewhere classified, cervicothoracic region	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9828	M48.54	Collapsed vertebra, not elsewhere classified, thoracic region	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9829	M48.55	Collapsed vertebra, not elsewhere classified, thoracolumbar region	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9830	M48.56	Collapsed vertebra, not elsewhere classified, lumbar region	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9831	M48.57	Collapsed vertebra, not elsewhere classified, lumbosacral region	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
9832	M48.58	Collapsed vertebra, not elsewhere classified, sacral and sacrococcygeal region	5-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10614	S06.810	Injury of right internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10615	S06.811	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10616	S06.812	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10617	S06.813	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10618	S06.814	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10619	S06.815	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10620	S06.816	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
10621	S06.817	Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness	6-char nonbill code	Condition	ICD10CM	Valid	Non-standard
